Namespace(beam=5, cpu=False, criterion='cross_entropy', data=['PATH_YOUR_OUTPUT/preprocessed_iwslt14/iwslt14deen'], dataset_impl=None, decoding_iterations=1, decoding_strategy='mask_predict', dehyphenate=False, diverse_beam_groups=-1, diverse_beam_strength=0.5, dynamic_length=False, force_anneal=None, fp16=False, fp16_init_scale=128, fp16_scale_tolerance=0.0, fp16_scale_window=None, gen_subset='test', gold_target_len=False, left_pad_source='True', left_pad_target='False', length_beam=5, lenpen=1, log_format=None, log_interval=1000, lr_scheduler='fixed', lr_shrink=0.1, mask_range=False, match_source_len=False, max_len_a=0, max_len_b=200, max_sentences=20, max_source_positions=1024, max_target_positions=1024, max_tokens=None, memory_efficient_fp16=False, min_len=1, min_loss_scale=0.0001, model_overrides='{}', momentum=0.99, nbest=1, no_beamable_mm=False, no_early_stop=False, no_progress_bar=False, no_repeat_ngram_size=0, num_shards=1, num_workers=0, optimizer='nag', path='DE2EN/checkpoint_best.pt', prefix_size=0, print_alignment=False, quiet=False, raw_text=False, remove_bpe='@@ ', replace_unk=None, required_batch_size_multiple=8, results_path=None, sacrebleu=False, sampling=False, sampling_topk=-1, sampling_topp=-1.0, score_reference=False, seed=1, self_target=False, shard_id=0, skip_invalid_size_inputs_valid_test=False, source_lang=None, target_lang=None, task='translation_self', tbmf_wrapper=False, temperature=1.0, tensorboard_logdir='', threshold_loss_scale=None, unkpen=0, unnormalized=False, upsample_primary=1, user_dir=None, warmup_updates=0, weight_decay=0.0)
| [de] dictionary: 8848 types
| [en] dictionary: 6640 types
| PATH_YOUR_OUTPUT/preprocessed_iwslt14/iwslt14deen test 6750 examples
| ['PATH_YOUR_OUTPUT/preprocessed_iwslt14/iwslt14deen'] test 6750 examples
| loading model(s) from DE2EN/checkpoint_best.pt
S-1267	warum ?

S-282	wir können unseren kindern beim fußball spielen zuschauen , und wir haben unser handy an der einen hüfte , und unseren blackberry an anderen hüfte , und unseren laptop vermutlich auf unserem schoß .
T-282	we can go to watch our kid play soccer , and we have our cell phone on one hip , and our blackberry on our other hip , and our laptop , presumably , on our laps .
H-282	we can look to our kids at the football , and we have our mobile phone on the one hip , and our blackberry on other hip , and our laptop is probably to play on our lap .

S-3449	ich weiß , sie werden fragen : &quot; wie lösen wir probleme der echten welt in spielen ? &quot; und genau dieser frage habe ich meine arbeit in den letzten jahren am institut für die zukunft gewidmet .
T-3449	now , i know you &apos;re asking , &quot; how are we going to solve real world problems in games ? &quot; well , that &apos;s what i have devoted my work to over the past few years , at the institute for the future .
H-3449	i know you &apos;re going to ask , &quot; how do we solve problems of real world ? &quot; and that &apos;s question i &apos;ve dedicated my work work at the institute for the institute for the future .

S-1102	so verrückt das natürlich im zusammenhang meines vortrages klingen mag , da bewegen wir uns körperlich in nicht existenten , virtuellen welten , ganz nach dem vorbild des holodecks .
T-1102	another example is so-called virtual reality as crazy as that may of course sound in the context of my presentation , we are physically moving in non-existent , virtual worlds there , according to the example of the holodeck .
H-1102	so crazy , of course that may sound in the context of my talk , because we &apos;re &apos;re physically moving moving in existential , virtual worlds , , just after the front of the hthe the model of the holodeck .

S-4534	also ist es genau so wie in hollywoodfilmen , wo während der verfolgungsjagd die überwachungskamera mit vorher aufgenommenem videoaufnahmen gefüttert wird .
T-4534	so it &apos;s just like from the hollywood movies where during the heist , the observation camera is fed with prerecorded video .
H-4534	so it &apos;s just much like in hollywood movies , where , during the tracking ase , the suroring camera is being fed with a recorvideo footage before .

S-1246	das bedeutet , achtung , wenn sie das jetzt wissen , achten sie drauf , wen sie wie lange anschauen , weil ich übernehme da keine gewähr für , was dann eben entsprechend passieren kann .
T-1246	that means , attention , now you know that , pay attention to how long you look at someone , because i will not be held responsible for what might happen .
H-1246	that means , oh , if you know that , look at who who you looking at like long , because i don &apos;t take any election for , which is be going to happen .

S-5099	so tendierten die menschen , die sich entschieden teilzunehmen , eher dazu , dass je mehr möglichkeiten ihnen zur verfügung standen , desto mehr vermieden sie es aktien und fonds zu wählen .
T-5099	so for those people who did choose to participate , the more choices available , the more likely people were to completely avoid stocks or equity funds .
H-5099	so the people who decided to participate , more rather that the more opportunities they had , the the more they tend to choose the titics and fds .

S-3877	und daher , meine primatenkameraden , lassen sie uns dieses geschenk der evolution umarmen und gemeinsam spielen , während wir die kreativität die kameradschaft und das staunen wiederentdecken .
T-3877	and so , my fellow primates , let us embrace this gift from evolution and play together , as we rediscover creativity , fellowship and wonder .
H-3877	and so , my primary mate ameroles , let &apos;s huthis gift of evolution , and play together , while we rediscover creativity creativity the cameroon and the stawonder .

S-297	eine kollegin von mir hatte zugriff auf investitions-akten von vanguard , der gigantischen fondgesellschaft von ungefähr einer millionen mitarbeitern und ca. 2000 unterschiedlichen arbeitsplätzen .
T-297	a colleague of mine got access to investment records from vanguard , the gigantic mutual fund company of about a million employees and about 2,000 different workplaces .
H-297	a colleague of mine had access to investment records of vanguard , the giant fonsociety , of about a million collaborators , and about 2,000 different jobs .

S-469	wir finden alle arten von spezies hier die ein zweites chromosom aufgenommen haben oder ein drittes von irgendwoher , jedes mal tausende charakteristiken in nur einer sekunde zu einer spezies hinzufügend .
T-469	we find all kinds of species that have taken up a second chromosome or a third one from somewhere , adding thousands of new traits in a second to that species .
H-469	we find all kinds of species here that have taken a second chromosome , or a third of anyone , every time add thousands of characteristics in just one second , to a species .

S-2878	es macht keinen unterschied . es macht keinen unterschied , weil wir an anekdoten glauben , wir glauben , was wir sehen , was wir zu sehen glauben , was bewirkt , dass wir uns echt fühlen .
T-2878	it doesn &apos;t matter . it doesn &apos;t matter because we believe anecdotes , we believe what we see , what we think we see , what makes us feel real .
H-2878	it doesn &apos;t make difference . it doesn &apos;t matter , because we believe in anecdotes , we believe what we see , what we believe , what what causes to feel that we feel really feel .

S-3844	wir kennen sie als &quot; liebe statt krieg &quot; -affen , denn sie haben häufigen , auch bisexuellen sex , mit wechselnden partnern , und regeln so konflikte und soziale angelenheiten .
T-3844	we know them as the &quot; make love , not war &quot; apes since they have frequent , promiscuous and bisexual sex to manage conflict and solve social issues .
H-3844	we know them as &quot; love instead of war monkeys , because they have frequency , also bisexual sex , with changing partners , and they rules so conflicts and social angels .

S-4310	ich kam also mit dem bedürfnis , einfach nur einen scheck auszustellen und stattdessen stellte ich einen scheck aus , von dem ich nicht die leiseste ahnung hatte , wie ich ihn einlösen sollte .
T-4310	so i showed up with the desire to just write a check , and instead , i wrote a check that i had no freaking idea how i was going to cash .
H-4310	so i came with the need to just make a check , and instead i made a check that i didn &apos;t have the easiest idea how to to solve it .

S-836	es gibt außerdem auch einige nette möglichkeiten in der bildung wie sprachen , mathematik oder logikspiele , wo wir den leuten die möglichkeit des schnellen ausprobierens geben und die ergebnisse sofort sehen wollen .
T-836	there are also some neat possibilities for education , like language , math and logic games where we want to give people the ability to try things quickly , and view the results immediately .
H-836	there are also some nice opportunities in the education like languages , math or logic , where we give people people the possibility of fast trial , and see the results right away .

S-3429	wir setzen spiele ein , um allem zu entgehen , das in der echten welt nicht funktioniert , allem das im echten leben nicht befriedigend ist , und wir holen uns was wir brauchen aus den spielen .
T-3429	we &apos;re using games to get away from everything that &apos;s broken in the real environment , everything that &apos;s not satisfying about real life , and we &apos;re getting what we need from games .
H-3429	we use games to get out everything that doesn &apos;t work in the real world , all that that is satissatisin real life , and we &apos;re what we need to play out of play .

S-3544	wenn wir einen menschen nicht ganzheitlich behandeln , und nicht all seine kräfte und möglichkeiten wahrnehmen und anerkennen , schaffen wir zusätzlich zu dem natürlichen kampf , den sie vielleicht führen müssen , eine weitere krankheit .
T-3544	by not treating the wholeness of a person , by not acknowledging their potency , we are creating another ill on top of whatever natural struggle they might have .
H-3544	if we don &apos;t treat a holistic , and not recognize all its forces and possibilities and recognize , , in addition to the natural struggle that you might have to lead , another disease .

S-1521	das sind die ersten schuhe , mit denen sie den kavalierstart an der fußgängerampel hinlegen können und der gummi in biologische kreisläufe gehen kann , ja ?
T-1521	these are the first shoes with which you make a jackrabbit start at the pedestrian lights and the rubber sole can go into biological cycles , okay ?
H-1521	these are the first shoes where you can put the cavererstart on the pedestripilight , and the rucan go go into biological circles , right ?

S-3126	und die dritte ist die konzentrations-illusion , und das ist die unglückliche tatsache , dass wir nicht über einen umstand nachdenken können , der wohlbefinden beeinflusst , ohne seine bedeutung zu verzerren .
T-3126	and the third is the focusing illusion , and it &apos;s the unfortunate fact that we can &apos;t think about any circumstance that affects well-being without distorting its importance .
H-3126	and the third is the concentration illusion and that is the unfortunate fact that we can &apos;t think about a circumstance that affects well-being without diting its meaning .

S-3543	vielleicht ist das momentane konzept , das nur darauf achtet , was in einem kaputt ist , und wie wir das reparieren , für jeden einzelnen eine größere behinderung als die pathologie an sich .
T-3543	perhaps the existing model of only looking at what is broken in you and how do we fix it , serves to be more disabling to the individual than the pathology itself .
H-3543	maybe the current concept , which is just looking at what &apos;s broken in a broken , and how we repair that , for each one one , is disability for than disability than the pathology .

S-5780	nimm zwei programme und sie produzieren kinder durch den austausch ihrer subroutinen , und die kinder vererben die merkmale der subroutinen von den zwei programmen .
T-5780	take two programs and they produce children by exchanging their subroutines , and the children inherit the traits of the subroutines of the two programs .
H-5780	take two programs , and they produce children through the exchange exchange of subroutines , and the kids are hiding the features of the subroutines , from the two programs .

S-5040	es gibt viele betriebe , die sich gerne in amerika ansiedeln würden , besonders an einem ort mit einer freihandelszone , und es gibt viele menschen , die gerne dort wohnen würden .
T-5040	there &apos;s lots of businesses that would like to locate in the americas , especially in a place with a free trade zone , and there &apos;s lots of people who &apos;d like to go there .
H-5040	there are a lot of businesses that would would like to put up in america , especially in a place with a free trade zone , and there are lots of people who would like to like to live there .

S-5747	telefonie , computer , videobänder , cd-roms und so weiter sind alles unsere spezialisierten mechanismen , die wir in unserer gemeinschaft gebaut haben , um diese informationen handhaben zu können .
T-5747	telephony , computers , videotapes , cd-roms and so on are all our specialized mechanisms that we &apos;ve now built within our society for handling that information .
H-5747	teleony , computers , video lines , cd roms , and so on are all our specialized mechanisms we &apos;ve built in our community to be able to have this information .

S-2004	das schöne ist an dem thema , dass man auf dieser insel im grunde genommen heute alles das vorwegnehmen kann an problemen , das wir bekommen werden , wenn wir unseren anteil von erneuerbaren erhöhen wollen .
T-2004	the nice thing about this topic is that on this island , you can basically anticipate all the problems we will have if we want to increase our share of renewable energies .
H-2004	the beauty is about the subject that on this island today , you can take take this this preposaway of problems that we &apos;re going to get if we want to get to increase proportion of renewables .

S-2085	und ich werde immer wieder mit nathaniel musizieren , egal ob in der walt disney <unk> ert hall oder in skid row , denn er erinnert mich daran , warum ich musiker geworden bin .
T-2085	and i will always make music with nathaniel , whether we &apos;re at walt disney concert hall or on skid row , because he reminds me why i became a musician .
H-2085	and i &apos;m going to play with nathaniel , whether whether in the walt disney makes es , or in skid row , because he reminds me me why i &apos;ve become a musician .

S-5610	aber es ist diese verachtung , die diese sache , die wir besitzen , und für die wir bezahlen , etwas sein lässt , das gegen uns arbeitet , etwas anderes , und dann entmachten wir uns selbst .
T-5610	but it &apos;s that contempt that keeps this thing that we own and we pay for as something that &apos;s working against us , this other thing , and then we &apos;re disempowering ourselves .
H-5610	but it &apos;s this templation that this thing that we own , and for which we pay , is something that works working against us , something else , and and then we deout of ourselves .

S-952	ein projekt , das ich mit dem hackteria-netzwerk in der schweiz selbst gemacht habe , war , dass wir eine sogenannte optische falle oder optische pinzette basteln wollten .
T-952	a project i set up myself with the hackteria network in switzerland , was one in which we wanted to create a so-called optical trap or optical tweezers .
H-952	one project that i did with the hacka network in switzerland itself was that we wanted to make something called optical trap or optical brush .

S-2055	nathaniel verließ juilliard , erlitt einen nervenzusammenbruch und 30 jahre später lebte er als obdachloser auf den straßen von skid row im zentrum von los angeles .
T-2055	nathaniel dropped out of juilliard , he suffered a complete breakdown , and 30 years later he was living homeless on the streets of skid row in downtown los angeles .
H-2055	nathaniel left juilliard , suffered a breakdown , and 30 years later , he lived as a homeless , on the streets of skid row , row at the center of los angeles .

S-2233	ich habe nicht die haut meines geliebten fisches erwähnt , die köstlich war , und ich mag keine fischhaut . ich mag sie nicht sautiert . ich mag sie nicht knusprig .
T-2233	i didn &apos;t mention the skin of my beloved fish , which was delicious -- and i don &apos;t like fish skin ; i don &apos;t like it seared , i don &apos;t like it crispy .
H-2233	i didn &apos;t mention the skin of my beloved fish , which was delicious , and and i don &apos;t like fish skin . i don &apos;t like them ck up . i don &apos;t like them , , i like like crchy .

S-3580	das war dr. kean , ein mann , den ich nur aus erzählungen meiner mutter über diesen tag kannte , weil ich natürlich , ganz typisch , zu meinem geburtstag zwei wochen zu spät kam .
T-3580	this man was dr. kean , a man that i had only known about through my mother &apos;s stories of that day , because , of course , typical fashion , i arrived late for my birthday by two weeks .
H-3580	this was dr. kean , a man who just knew from my mother &apos;s my narraabout this day , because i , of , quite typical , , to my birthday , my birthday , two weeks .

S-5706	wenn also jemand einhundert millionen kopien meiner visitenkarte möchte , ich habe genügend für jedermann in diesem raum und sogar für jedermann auf dieser welt , und es ist genau hier .
T-5706	so if anyone would like a hundred million copies of my business card , i have plenty for everyone in the room , and , in fact , everyone in the world , and it &apos;s right here .
H-5706	so if somebody wants a hundred million copies of my business card , i &apos;ve got enough enough for everyone in this room , and even for everyone , in the world , and and it &apos;s right here .

S-83	diese pflanze enthält einige sehr starke tryptamine die dem serotonin , dimethyltryptamin-5 und methoxydimethyltryptamin sehr ähnlich sind .
T-83	this plant had in it some very powerful tryptamines , very close to brain serotonin , dimethyltryptamine , 5-methoxydimethyltryptamine .
H-83	this plant contains some very strong tryptamtamins that are the serotonin , dimeylylytrtamin 5 , and methoxydiylylyyptamine , the very strong trypin much .

S-85	dieses puder zu schnupfen ist ungefähr so wie aus einem gewehrlauf beschossen zu werden , gesäumt von barocken gemälden und der landung auf einem meer von elektrizität .
T-85	to have that powder blown up your nose is rather like being shot out of a rifle barrel lined with baroque paintings and landing on a sea of electricity .
H-85	checking this powder is about of being shot from a tissue run , singing ed by barods paintings and the landing on a sea of electricity .

S-2503	nun , der exakte zusammenhang zwischen einem co2-anstieg und der dadurch resultierende temperaturveränderung und wo deren weitere folgen liegen , da gibt es einige unklarheiten , aber nicht sehr viele .
T-2503	now , the exact amount of how you map from a certain increase of co2 to what temperature will be and where the positive feedbacks are , there &apos;s some uncertainty there , but not very much .
H-2503	now , the exact relationship between a carbon increase and it &apos;s not very many .

S-1704	wenn in einer umgebung , wo die erwachsenen aktiv musik machen oder zumindest aktiv musik hören , ein kind aufwächst , dann ist es ganz leicht für einen musiklehrer , zu fragen , welche farbe hat deine blume ?
T-1704	when a child grows up in an environment where the adults actively make music or at least actively listens to music , it &apos;s very easy for a music teacher to ask , what color is your flower ?
H-1704	if in a environment where the adults actively making music , or at least active hear music , a child is growing up up , it &apos;s very easy for a music teacher , to ask , what is is your color have your flower ?

S-3287	ich entwickle jetzt seit 10 jahren online-spiele . und mein ziel für das nächste jahrzehnt ist , es genauso leicht zu machen , die welt in der realität zu retten , wie sie in online-spielen zu retten ist .
T-3287	i &apos;ve been making games online now for 10 years , and my goal for the next decade is to try to make it as easy to save the world in real life as it is to save the world in online games .
H-3287	i &apos;ve been developing online games now for 10 years , and my goal for the next decade is to make it as easy , to save the world in reality , as to save it in online games .

S-4051	und vielleicht ist es das , wohin wir in zukunft gehen müsse , wenn wir demokratie über anatomie hinausführen -- weniger über den individuellen körper nachzudenken was identität betrifft , und mehr über beziehungen nachzudenken .
T-4051	and maybe that &apos;s where we need to go in the future , when we take democracy beyond anatomy , is to think less about the individual body , in terms of the identity , and think more about those relationships .
H-4051	and maybe it &apos;s more about relationships .

S-2748	der durchschnitt für die meisten liegt bei ca. 50cm , bwl-studenten schaffen die hälfte davon , anwälte etwas mehr , aber nicht viel , kindergartenkinder sind besser als die erwachsenen .
T-2748	so the average for most people is around 20 inches ; business schools students , about half of that ; lawyers , a little better , but not much better than that , kindergarteners , better than most adults .
H-2748	the average of average for of people is about 50ches , bwl students , half half of them , lawa little bit more , but not a lot , but child garten children , are better than the adults .

S-3224	die unterscheidung zwischen dem glück des erlebenden selbst und der zufriedenheit des erinnernden selbst ist in den letzten jahren erkannt worden , und jetzt bemüht man sich , die beiden separat zu messen .
T-3224	the distinction between the happiness of the experiencing self and the satisfaction of the remembering self has been recognized in recent years , and there are now efforts to measure the two separately .
H-3224	the distinction between the happiness of the the living self and satisfaction of the self has has been realized in in the few years , and now you &apos;re trying to measure the two to measure the separation .

S-5307	jeder dollar wurde zugeteilt und wurde in weitere ausbildung für englisch und mathematik gesteckt , egal , worauf wir dafür verzichten mussten . meistens waren das neue sachen , die kamen immer aus zweiter hand .
T-5307	all the dollars were allocated and extra tuition in english and mathematics was budgeted for regardless of what missed out , which was usually new clothes ; they were always secondhand .
H-5307	every dollar was divided , and it put in more education for english and mathematics , no matter we had to get ate for it , and most were the new things that were always always coming out of second hand .

S-3751	sie sind nichts anderes als etwas , das sie morgens anlegen und das ihnen zusätzliche stärke verleiht und das ihre geschwindigkeit weiter erhöhen wird und das ihnen dabei helfen wird , beispielsweise ihre balance zu halten .
T-3751	these are nothing else than something that you put on in the morning , and it will give you extra strength , and it will further enhance your speed , and it will help you , for instance , to manage your balance .
H-3751	they &apos;re not else than something they put them in the morning , that will gives you extra strength , and that &apos;s going to increase increase your speed further , and that &apos;s going to help you , for example example , to keep their balance .

S-4303	ich will mich nur wieder mit ihm und ich fragte : &quot; moment mal , ist das nicht – ich hab stephen hawking gesehen – können nicht alle gelähmten menschen mittels dieser geräte kommunizieren ? &quot;
T-4303	i just want to be able to communicate with him and i said , &quot; wait a second , isn &apos;t that -- i &apos;ve seen stephen hawking -- don &apos;t all paralyzed people have the ability to communicate via these devices ? &quot;
H-4303	i just want to go with him , and i said , &quot; wait minute , isn &apos;t that -- i saw stephen hawking -- can &apos;t all the paralyzed people communiccommunicate with these devices ? &quot;

S-1583	da gibt es zwar dann auch abstufungen , ob man es für den hausgebrauch lernt , nur passiv versteht oder man auch aktiv sprechen kann , bis zu dem musikalischen muttersprachler .
T-1583	there are different grades here , for example if you are just learning it for use at home , whether you only understand it passively or whether you can also actively speak it , all the way to the musical native speaker .
H-1583	now there are also stations , whether you learn it for the use , it just passively , or you can speak active , until up to the musical mother &apos;s language .

S-2423	nach dem erfolg von &quot; titanic &quot; sagte ich mir , &quot; okay , ich will meinen hauptberuf als filmemacher in hollywood auf eis legen und werde für eine weile vollzeit-forscher . &quot;
T-2423	after the success of &quot; titanic , &quot; i said , &quot; ok , i &apos;m going to park my day job as a hollywood movie maker , and i &apos;m going to go be a full-time explorer for a while . &quot;
H-2423	after the success of &quot; titanic , &quot; i told myself , &quot; okay , i want put my profession as a filmmaker in hollywood on ice and i &apos;m going to be full-time for a while . &quot;

S-6410	und dort sagte eine anderen krankenschwester , nicht der schwester die nach frau drucker gesehen hatte , sondern einer anderen drei worte zu mir und diese drei worte fürchten die meisten notfallärzte , die ich kenne .
T-6410	and it was there that another nurse , not the nurse who was looking after mrs. drucker before , but another nurse , said three words to me that are the three words that most emergency physicians i know dread .
H-6410	and there another nurse , not the sister who had seen after woman printer , but another three words to me and those three words fear most most emergency physicians that i know .

S-5876	im nächsten buch planen wir eine interaktion bei der man das video des ipads benutzt und durch augmented reality eine animation von elfen sieht , die auf einer pflanze vor dem haus erscheinen .
T-5876	in the next book , we plan on having an interaction where you take your ipad out with the video on and through augmented reality , you see this layer of animated pixies appear on a houseplant that &apos;s outside your house .
H-5876	in the next book , we plan an interaction where you use the video of the ipad , and through augmented reality , an animation of 11 that appear on a plant in front of the house .

S-1821	und wenn sich dieser lufthauch dann über den menschen ergießt , dann ist er angefüllt mit würde , mit geist , mit natur , die nur leben kann , ja eben mit seele .
T-1821	and then it can leave you .
H-1821	and when that lufthic comes over people , then it &apos;s filled with digdignity , , with nature , that can only live , yes with soul .

S-5146	die kleinigkeit , die wir hinzu gefügt haben , war , dass wir die menschen gebeten haben , einfach an alle positiven dinge zu denken , die in ihren leben passieren würden , wenn sie geld sparen würden .
T-5146	the one little thing we added was we asked people to just think about all the positive things that would happen in your life if you saved more .
H-5146	the small thing that we added was that we asked the people to just just think of all the positive things that would would happen in their lives if they were to save money .

S-6593	man könnte jetzt denken , dass das problem menschen betraf , die sicherlich , als sie in räuberischen gesellschaften lebten , tiere töteten und denen erst nach ein paar generationen bewusst wurde , was sie getan hatten .
T-6593	now one should think this problem affected people certainly when in predatory societies , they killed animals and they didn &apos;t know they had done so after a few generations .
H-6593	now you might think that the problem looking at people who certainly , when they lived in predatsocieties , killed animals , who only only aware after a few generations , what they had done .

S-548	nun , natürlich , auf eine art entfachen solche unfälle erneut die debatte um den wert von wissenschaft und ingenieurskunst an solchen grenzen . es ist leicht , so etwas abzulehnen .
T-548	now of course , in a way those accidents reignite the debate about the value of science and engineering at the edge . it &apos;s easy to refute .
H-548	now , of course , in a way , these accidents again , the debate about the value of science and engineering on these limitations , and it &apos;s easy to reject something like this .

S-3541	und um ehrlich zu sein , die einzige wirkliche und bleibende behinderung , mit der ich mich auseinander setzen musste , ist , dass die welt ständig meint , sie könne mich mit diesen definitionen beschreiben .
T-3541	and , truthfully , the only real and consistent disability i &apos;ve had to confront is the world ever thinking that i could be described by those definitions .
H-3541	and to be honest , the only real and remaining disdisthat i had had to deal with , is that the world is constantly meant , that it can to describe me with these definitions .

S-5002	darum wurde ich von dem präsidenten von honduras gebeten , der meinte , dass wir dieses projekt verwirklichen müssen , dass es wichtig ist , und dass dies der weg ist unser land voran zu bringen .
T-5002	so i was asked by the president of honduras who said that we need to do this project , this is important , this could be the way forward for our country .
H-5002	so i was asked by the president of honhonduras , who that we need to do this project that it &apos;s important , and that this is the way to get forward our country .

S-164	und das gibt ihnen wirklich das vergnügen und die gute erfahrung eine echte papierausgabe einer zeitschrift oder einer zeitung zu lesen , was an sich eine art medium mit mehreren größenordnungen ist .
T-164	and this really gives you the joy and the good experience of reading the real paper version of a magazine or a newspaper , which is an inherently multi-scale kind of medium .
H-164	and that really gives you the pleasure , and the good experience to read a real paper copy of a magazine , or a newspaper , which is in a kind of medium medium with several scale with several magnitude .

S-2805	dies ist die großartigste zeit , die es je auf diesem planeten gab , egal , welchen maßstab sie anlegen : gesundheit , reichtum , mobilität , gelegenheiten , sinkende krankheitsraten .
T-2805	this is the greatest time there &apos;s ever been on this planet by any measure that you wish to choose : health , wealth , mobility , opportunity , declining rates of disease ...
H-2805	this is the greatest time that has ever been on the planet no matter what scale scale you &apos;re doing : health , wealth , mobility , opportunities , , opportunities , declining rates .

S-5716	somit haben sie entweder zusammen überlebt , oder sie gingen zusammen unter . das bedeutete , dass wenn eine gemeinschaft erfolgreich war , wurden alle individuen der gemeinschaft öfter wiederholt und von der evolution bevorzugt .
T-5716	so they survived or they failed together , which means that if a community was very successful , all the individuals in that community were repeated more and they were favored by evolution .
H-5716	so they either survived ved together , or they went together , and that meant that if a community succesuccessful , all the individuals of the community were being repeated ated , and and they were preferred by evolution .

S-2958	nun , die hirnloseste epidemie , in der wir uns gerade befinden , ist dieser absurde kampf zwischen den befürwortern gentechnisch veränderter nahrungsmittel und der bio-elite .
T-2958	now , the most mindless epidemic we &apos;re in the middle of right now is this absurd battle between proponents of genetically engineered food and the organic elite .
H-2958	now , the braininc epidemic that we &apos;re in right now , is this absurd struggle between the advocents of genetic changing food food and the bio-elite .

S-4181	die andere sache aber ist , dass wir glauben , dass wenn wir jeden tag sehen , dass die tasse , die wir wegwerfen , nicht einfach verschwindet , dass sie immer noch irgendwo auf dem planeten ist .
T-4181	but the other thing is that we believe that if we see every day that the cup we &apos;re throwing away , it doesn &apos;t disappear , it &apos;s still somewhere on the planet .
H-4181	but the other thing is that we think that if we see every day that the cup we throw away , not just disappears , that it &apos;s still somewhere on the planet .

S-5717	die übergangsstelle ist nun dort , wo diese gemeinschaften so nahe zusammenrückten , dass sie sich entschlossen , das rezept für die ganze gemeinschaft in eine zeichenkette auf die dna zu schreiben .
T-5717	now the transition point happened when these communities got so close that , in fact , they got together and decided to write down the whole recipe for the community together on one string of dna .
H-5717	now the transition transition now is where these communities were so close together together , that they decided to write write the recipe for the whole community , into a chain of a drawing el on the dna .

S-919	hier im bild links oben sieht man bio<unk> , das ist ein hackerspace , also im prinzip eine art schule , so eine private schule , gemeinnützige verein einrichtung , wo jeder hinkommen kann .
T-919	this picture on the left is of biocurious , that &apos;s a hackerspace , so a kind of school , a private school , a non-profit <<unk>> institution , where anybody can go to .
H-919	here in the picture on the top left , see biobio, this is a hackerspace , so basically a kind of school , it is a private school , nonprofit school , a facility , where where everybody can come .

S-1258	usability bedeutet immer , wie kann ich möglichst schnell ein gewisses ziel erreichen oder wie kann ein nutzer in einem bestimmten nutzungskontext möglichst effektiv , effizient und zufriedenstellend ein ziel erreichen .
T-1258	usability always means how can i reach a goal as soon as possible or how can a user reach a goal in a certain user context in an as effective , efficient and satisfying way possible .
H-1258	uscability always means , how can i get to get a certain certain goal , or how can a user , in a certain user context , effectively , efficient efficient and satisfying , achieve a goal ?

S-4187	es fing mit einer frage des bürgermeisters an , der zu uns kam und sagte , dass spanien und südeuropa eine schöne tradition haben , an öffentlichen orten wasser als teil der architektur zu nutzen .
T-4187	it started with a question by the mayor of the city , who came to us saying that spain and southern europe have a beautiful tradition of using water in public space , in architecture .
H-4187	it started with a question of the mayor came to us and said that spain and sousouth europe , have a beautiful tradition of water in in public places , as part of the architecture .

S-6272	ja , es sind 97,5 prozent salzwasser , 2 prozent sind vereist , und wir kämpfen um 0,5 prozent des wassers auf dem planeten , aber hier gibt es auch hoffnung .
T-6272	yes , 97.5 percent is saltwater , two percent is ice , and we fight over a half a percent of the water on this planet , but here too there is hope .
H-6272	yes , it &apos;s 97.5 percent salt , two percent is inated , and we &apos;re fighting by 0.5 percent of the water on the planet , but here that is where there &apos;s also hope .

S-1272	wenn wir uns dann nochmal in den bereich der software begeben , hier so die ersten command line interfaces , die sehr abstrakt waren , wo man monate gebraucht hat , um mit diesen systemen umzugehen .
T-1272	if we go back to the area of software , here you see the first command line interfaces , which were very abstract , and it took months to understand how to handle these systems .
H-1272	if we go back to the field of software , here &apos;s the first command line interfaces , which were very abstract , where you needed months to , to to deal with these systems .

S-6262	in diesem jahr hat man es zum ersten mal geschafft , die kosten für solarstrom in indien zu 50 prozent des diesel-stroms zu reduzieren – 8.8 rupien im vergleich zu 17 rupien .
T-6262	for the first time , this year the cost of solar-generated electricity is 50 percent that of diesel-generated electricity in india -- 8.8 rupees versus 17 rupees .
H-6262	this year , it first first , able to able to reduce the cost of of solar in india india to 50 percent of the same electricity -- 8.8 rupees , compared compared to 17 rupees .

S-283	und auch wenn sie alle abgeschaltet sind , jede minute in der wir unserem kind beim verstümmeln eines fußballspiels zugucken fragen wir uns auch , &quot; sollte ich diesen anruf annehmen ?
T-283	and even if they &apos;re all shut off , every minute that we &apos;re watching our kid mutilate a soccer game , we are also asking ourselves , &quot; should i answer this cell phone call ?
H-283	and even if you &apos;re all off , every minute when we look at our child at mutilation of a football , we &apos;ll ask ourselves , &quot; should i embrame this call ?

S-6056	es gibt keine abgrenzung um technologie und design , die es uns erlaubt , ganz und gar menschlich zu sein , solange wir nicht auch augen und ohren haben für armut , ausgrenzung und ungerechtigkeit .
T-6056	there is no disconnect around technology and design that will allow us to be fully human until we pay attention to suffering , to poverty , to exclusion , to unfairness , to injustice .
H-6056	there &apos;s no limitation for technology and design , it allows us to be be human human even as long as we don &apos;t have eyes and ears , for poverty , limitation and limitation and injustice .

